,triID,lon1,lat1,lon2,lat2,lon3,lat3,year,doy,E1,E2,Een,w,theta,Eee,Enn,Decimal time
143921,32,-120.00067733,35.68673127,-120.11249858,35.53417298,-119.53580713,35.49984192,2009,3,0.0,0.0,0.0,1.1586e-08,108.06,0.0,0.0,2009.0096
147257,33,-120.11249858,35.53417298,-120.35382694,35.44045065,-119.53580713,35.49984192,2009,3,0.0,0.0,0.0,5.421e-07,119.31,0.0,0.0,2009.0096
151911,34,-121.13485627,36.42590169,-120.98148099,36.4171792,-121.18843173,36.55951691,2009,3,0.0,0.0,0.0,-2.6711e-06,105.34,0.0,0.0,2009.0096
157229,35,-120.98148099,36.4171792,-121.13485627,36.42590169,-121.05089822,36.30215081,2009,3,0.0,0.0,0.0,-1.9441e-06,111.54,0.0,0.0,2009.0096
165034,36,-121.13485627,36.42590169,-121.18843173,36.55951691,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,1.0804e-06,3.59,0.0,0.0,2009.0096
165777,37,-121.05089822,36.30215081,-121.13485627,36.42590169,-121.29033372,35.94571613,2009,3,0.0,0.0,0.0,7.5861e-07,141.77,0.0,0.0,2009.0096
171581,38,-120.69782959,36.0248341,-120.74881504,36.1068411,-120.9068426,35.93325931,2009,3,0.0,0.0,0.0,-3.7152e-06,35.37,0.0,0.0,2009.0096
177282,39,-120.64477031,35.92277655,-120.69782959,36.0248341,-120.9068426,35.93325931,2009,3,0.0,0.0,0.0,4.1041e-06,133.73,0.0,0.0,2009.0096
182220,40,-120.69782959,36.0248341,-120.54299304,36.0893639,-120.74881504,36.1068411,2009,3,0.0,0.0,0.0,-7.9044e-06,62.54,0.0,0.0,2009.0096
187279,41,-120.72825202,36.17893896,-120.76684364,36.18052299,-120.74881504,36.1068411,2009,3,0.0,0.0,0.0,-1.0661e-05,109.57,0.0,0.0,2009.0096
189094,42,-120.54299304,36.0893639,-120.72825202,36.17893896,-120.74881504,36.1068411,2009,3,0.0,0.0,0.0,-1.9774e-06,93.72,0.0,0.0,2009.0096
196122,43,-120.72825202,36.17893896,-120.54299304,36.0893639,-120.7101978,36.25681906,2009,3,0.0,0.0,0.0,-9.9821e-07,71.07,0.0,0.0,2009.0096
199150,44,-120.13063554,35.80127902,-120.18204919,35.70267309,-120.00067733,35.68673127,2009,3,0.0,0.0,0.0,-2.1922e-06,74.88,0.0,0.0,2009.0096
207402,45,-120.11249858,35.53417298,-120.18204919,35.70267309,-120.26702501,35.63381057,2009,3,0.0,0.0,0.0,-2.2429e-06,109.43,0.0,0.0,2009.0096
208174,46,-120.18204919,35.70267309,-120.11249858,35.53417298,-120.00067733,35.68673127,2009,3,0.0,0.0,0.0,-1.3035e-07,113.74,0.0,0.0,2009.0096
213458,47,-120.84238078,35.69707615,-120.6047532,35.75414326,-120.75075094,35.79161038,2009,3,0.0,0.0,0.0,9.3476e-06,125.87,0.0,0.0,2009.0096
219251,48,-120.6047532,35.75414326,-120.84238078,35.69707615,-120.86973479,35.63597366,2009,3,0.0,0.0,0.0,-6.5371e-07,116.41,0.0,0.0,2009.0096
223682,49,-120.48043221,35.62479993,-120.6047532,35.75414326,-120.86973479,35.63597366,2009,3,0.0,0.0,0.0,-2.4242e-06,66.34,0.0,0.0,2009.0096
230830,50,-120.53659927,35.79268941,-120.6047532,35.75414326,-120.48043221,35.62479993,2009,3,0.0,0.0,0.0,-1.6278e-06,63.72,0.0,0.0,2009.0096
235642,51,-120.48043221,35.62479993,-120.34760471,35.54405349,-120.26702501,35.63381057,2009,3,0.0,0.0,0.0,2.5222e-06,154.52,0.0,0.0,2009.0096
241954,52,-120.34760471,35.54405349,-120.48043221,35.62479993,-120.35382694,35.44045065,2009,3,0.0,0.0,0.0,-1.032e-06,107.2,0.0,0.0,2009.0096
242275,53,-120.34760471,35.54405349,-120.11249858,35.53417298,-120.26702501,35.63381057,2009,3,0.0,0.0,0.0,2.3523e-06,151.39,0.0,0.0,2009.0096
251329,54,-120.11249858,35.53417298,-120.34760471,35.54405349,-120.35382694,35.44045065,2009,3,0.0,0.0,0.0,-4.0155e-07,117.72,0.0,0.0,2009.0096
255408,55,-120.55185623,35.97408471,-120.69782959,36.0248341,-120.64477031,35.92277655,2009,3,0.0,0.0,0.0,9.4328e-06,160.44,0.0,0.0,2009.0096
259348,56,-120.69782959,36.0248341,-120.55185623,35.97408471,-120.54299304,36.0893639,2009,3,0.0,0.0,0.0,-5.0341e-06,73.71,0.0,0.0,2009.0096
260443,57,-120.75860075,36.18690361,-120.72825202,36.17893896,-120.7101978,36.25681906,2009,3,0.0,0.0,0.0,4.7713e-06,87.25,0.0,0.0,2009.0096
263874,58,-120.72825202,36.17893896,-120.75860075,36.18690361,-120.76684364,36.18052299,2009,3,0.0,0.0,0.0,-6.4481e-05,83.04,0.0,0.0,2009.0096
267020,59,-121.05089822,36.30215081,-120.75860075,36.18690361,-120.7101978,36.25681906,2009,3,0.0,0.0,0.0,-6.4373e-06,47.11,0.0,0.0,2009.0096
270998,60,-120.76684364,36.18052299,-120.75860075,36.18690361,-121.05089822,36.30215081,2009,3,0.0,0.0,0.0,-8.1731e-05,83.04,0.0,0.0,2009.0096
273723,61,-120.15488377,35.92790363,-120.13063554,35.80127902,-119.90936012,35.93470336,2009,3,0.0,0.0,0.0,-2.8377e-07,60.16,0.0,0.0,2009.0096
278114,62,-120.27697998,36.3044271,-120.15488377,35.92790363,-119.90936012,35.93470336,2009,3,0.0,0.0,0.0,1.0754e-07,127.59,0.0,0.0,2009.0096
281396,63,-120.52482299,35.89999297,-120.59428168,35.82870828,-120.47949328,35.86671327,2009,3,0.0,0.0,0.0,4.1666e-06,41.74,0.0,0.0,2009.0096
284575,64,-120.59428168,35.82870828,-120.53659927,35.79268941,-120.47949328,35.86671327,2009,3,0.0,0.0,0.0,1.9281e-05,139.47,0.0,0.0,2009.0096
289012,65,-120.59428168,35.82870828,-120.52482299,35.89999297,-120.64477031,35.92277655,2009,3,0.0,0.0,0.0,-1.4523e-06,28.87,0.0,0.0,2009.0096
294346,66,-120.53659927,35.79268941,-120.59428168,35.82870828,-120.6047532,35.75414326,2009,3,0.0,0.0,0.0,1.0076e-05,128.0,0.0,0.0,2009.0096
298496,67,-120.59428168,35.82870828,-120.64477031,35.92277655,-120.75075094,35.79161038,2009,3,0.0,0.0,0.0,-8.709e-06,48.02,0.0,0.0,2009.0096
