,dvvmethod,t,station,dvv,dilation,maxshear,E0,E5,E10,E15,E20,E25,E30,E35,E40,E45,E50,E55,E60,E65,E70,E75,E80,E85,E90,E95,E100,E105,E110,E115,E120,E125,E130,E135,E140,E145,E150,E155,E160,E165,E170,E175,E180
0,stretching,2009-01-09,CCRB,-0.0622332268874331,-0.0123963140641747,0.1084744913943932,-0.0212199736635484,-0.0171668201427509,-0.0127803893437471,-0.0081939607467239,-0.0035468906637568,0.0010196220322139,0.0053668261636884,0.0093626341329231,0.0128856353367493,0.0158287851663132,0.0181026575033493,0.0196381618875316,0.0203886427951495,0.0203312972435866,0.0194678676484091,0.0178245888809498,0.0154513911350188,0.0124203828232303,0.0088236595993737,0.0047705060785761,0.0003840752795724,-0.0042023533174507,-0.0088494234004178,-0.0134159360963887,-0.0177631402278631,-0.0217589481970979,-0.025281949400924,-0.0282250992304879,-0.030498971567524,-0.0320344759517063,-0.0327849568593242,-0.0327276113077614,-0.0318641817125838,-0.0302209029451245,-0.0278477051991935,-0.024816696887405,-0.0212199736635484
0,stretching,2009-04-09,CCRB,0.0060268518012407,-0.0469778495584185,0.3225821006656819,0.1288710934725923,0.1162211775784229,0.09932624092084,0.0786996276009336,0.054968066826859,0.0288526300639874,0.0011468216433101,-0.0273075314661262,-0.0556458581436888,-0.0830071126731652,-0.1085599371811401,-0.1315279220252916,-0.1512131966084914,-0.1670176338237585,-0.1784610238437382,-0.1851956650533082,-0.1870169287872085,-0.1838694768684884,-0.1758489430310109,-0.1631990271368416,-0.1463040904792586,-0.1256774771593521,-0.1019459163852776,-0.0758304796224061,-0.0481246712017288,-0.0196703180922922,0.0086680085852703,0.0360292631147466,0.0615820876227214,0.084550072466873,0.1042353470500728,0.1200397842653399,0.1314831742853196,0.1382178154948896,0.1400390792287899,0.1368916273100698,0.1288710934725923
0,stretching,2010-01-04,CCRB,0.043405274448304,0.1385282875335304,0.929938438113097,0.6867000441078213,0.6600369204396096,0.6154234648976429,0.5542152347530664,0.4782720111059635,0.3899012903777263,0.2917881721999402,0.1869137740208034,0.0784646513599832,-0.0302640240683753,-0.1359685864807464,-0.2354372562373191,-0.3256477281411158,-0.4038590026520411,-0.4676946697708946,-0.5152151150546765,-0.5449764538199449,-0.5560744028482805,-0.5481717565742908,-0.5215086329060794,-0.4768951773641127,-0.4156869472195359,-0.3397437235724331,-0.2513730028441962,-0.15325988466641,-0.0483854864872728,0.0600636361735471,0.1687923116019059,0.2744968740142765,0.3739655437708499,0.4641760156746464,0.5423872901855715,0.6062229573044249,0.653743402588207,0.6835047413534753,0.694602690381811,0.6867000441078214
0,stretching,2010-04-04,CCRB,,0.1425334374936626,0.946208051020776,0.844888216316888,0.797056458336703,0.7271719463864088,0.6373580859983462,0.5303438258723998,0.4093807401506676,0.2781442309825307,0.1406218532901841,0.0009921549301293,-0.136502286369,-0.2676837715838746,-0.3885664176672744,-0.495477266587526,-0.5851678862996877,-0.6549130727094484,-0.702593653620515,-0.7267608787094428,-0.7266804390711109,-0.7023547788232255,-0.6545230208430405,-0.5846385088927462,-0.4948246485046834,-0.3878103883787369,-0.2668473026570052,-0.1356107934888683,0.0019115842034788,0.1415412825635334,0.2790357238626628,0.410217209077537,0.5310998551609376,0.638010704081189,0.7277013237933505,0.797446510203111,0.8451270911141775,0.8692943162031056,0.8692138765647738,0.844888216316888
0,stretching,2010-10-01,CCRB,-0.0047921783511759,0.4429120011603618,1.4070289466166237,1.313365038199866,1.2721140423102946,1.1989393334813756,1.0960642882126863,0.9666147126974324,0.8145238667829974,0.6444129538608107,0.4614507079397372,0.2711963442787256,0.0794306454442617,-0.1080196848426946,-0.2854590631508179,-0.4474960837588742,-0.5892073337903763,-0.7062869886224692,-0.7951776421882444,-0.8531783969599462,-0.8785269293536346,-0.870453037039504,-0.8292020411499325,-0.7560273323210137,-0.6531522870523246,-0.5237027115370704,-0.3716118656226358,-0.2015009527004492,-0.0185387067793749,0.1717156568816366,0.3634813557161002,0.5509316860030563,0.7283710643111806,0.8904080849192366,1.0321193349507385,1.1491989897828314,1.2380896433486062,1.2960903981203082,1.3214389305139966,1.313365038199866
0,stretching,2010-12-30,CCRB,-0.0040868576037758,0.2579492069295359,1.467114798005712,1.3567052474137142,1.2814585616010712,1.1711942339054786,1.0292625901275256,0.8599761514425265,0.6684786006268549,0.4605884938596093,0.2426224668374408,0.0212033069952879,-0.1969412765385473,-0.405183070979875,-0.5971947547800271,-0.7671421500893368,-0.9098614912988624,-1.0210163234454226,-1.0972292632013048,-1.1361846189576337,-1.136698751942115,-1.0987560404841783,-1.0235093546715353,-0.9132450269759426,-0.7713133831979891,-0.6020269445129908,-0.4105293936973197,-0.2026392869300738,0.0153267400920954,0.2367458999342479,0.4548904834680832,0.6631322779094105,0.8551439617095639,1.025091357018873,1.1678106982283984,1.278965530374959,1.3551784701308405,1.3941338258871696,1.3946479588716505,1.3567052474137142
0,stretching,2011-03-30,CCRB,-0.0012229387211488,0.2774791572839686,1.7307053986254342,1.4799816631550815,1.3967324272423622,1.275259715200017,1.119254413915295,0.9334566655252398,0.7235118405964867,0.495799006397289,0.2572371021665343,0.0150747106461268,-0.2233301864376694,-0.4507337769256619,-0.6602265177926417,-0.8454430781158083,-1.0007557464338437,-1.121445425911906,-1.2038450217109802,-1.2454508638089172,-1.2449987797471442,-1.2025025058711132,-1.1192532699583932,-0.997780557916048,-0.8417752566313257,-0.6559775082412708,-0.4460326833125184,-0.2183198491133209,0.0202420551174346,0.2624044466378417,0.5008093437216379,0.72821293420963,0.9377056750766112,1.1229222353997772,1.278234903717812,1.3989245831958743,1.4813241789949485,1.5229300210928858,1.522477937031113,1.4799816631550815
0,stretching,2011-06-28,CCRB,,0.3552878670614456,1.8054970127998844,1.6527208815158574,1.5590125781221995,1.4233320874688922,1.2498019926067945,1.0436949176578254,0.8112733217990981,0.5595992176097778,0.2963195953924147,0.0294340732421669,-0.2329481673010213,-0.4828547746300654,-0.7126924629401163,-0.9154777303753564,-1.0850490491990628,-1.2162540806960025,-1.305106226377093,-1.3489057587571678,-1.3463218512084922,-1.2974330144544113,-1.2037247110607543,-1.0680442204074465,-0.8945141255453483,-0.6884070505963796,-0.4559854547376528,-0.2043113505483327,0.0589682716690315,0.3258537938192788,0.5882360343624672,0.8381426416915103,1.067980330001563,1.2707655974368028,1.440336916260508,1.5715419477574477,1.6603940934385382,1.7041936258186137,1.7016097182699377,1.6527208815158574
0,stretching,2011-09-26,CCRB,0.0019478950768021,0.5244055045250035,1.944624781499029,1.8821586630426503,1.7927922569616663,1.6569196632960574,1.4786693020495052,1.2634572202494496,1.017822528098819,0.7492287114214574,0.4658368574220773,0.1762576841812532,-0.1107100916562251,-0.3863470994342376,-0.6422782481505039,-0.8707271993586915,-1.0647526472770867,-1.2184592268523025,-1.3271766414432289,-1.387601567421185,-1.3978980239868208,-1.3577531585176468,-1.268386752436662,-1.1325141587710537,-0.9542637975245012,-0.7390517157244461,-0.4934170235738153,-0.2248232068964543,0.0585686471029267,0.3481478203437505,0.6351155961812289,0.9107526039592404,1.1666837526755087,1.3951327038836965,1.5891581518020903,1.742864731377306,1.8515821459682316,1.9120070719461892,1.922303528511825,1.8821586630426508
0,stretching,2011-12-25,CCRB,0.0140554820431215,0.4688141534579951,2.122451852930017,1.94163479995079,1.8496700014152223,1.7086262562755414,1.5227891073562392,1.297805122389092,1.040510325909938,0.7587224901123483,0.4610035957955054,0.1563996809101984,-0.1458340187268015,-0.4365142850896555,-0.7068089453762394,-0.9485052331094443,-1.1542593288907197,-1.3178194986363458,-1.4342160493540428,-1.49991233074975,-1.5129121945571808,-1.472820646492795,-1.380855847957227,-1.2398121028175466,-1.053974953898244,-0.8289909689310971,-0.5716961724519439,-0.289908336654354,0.0078105576624899,0.3124144725477964,0.6146481721847965,0.9053284385476498,1.175623098834235,1.4173193865674405,1.6230734823487138,1.7866336520943404,1.9030302028120376,1.968726484207745,1.981726348015176,1.94163479995079
0,stretching,2012-03-24,CCRB,0.0343230652926066,0.4134235195306805,2.186684559743465,2.085620232456678,1.9712783139452332,1.803320933598792,1.5868513914286466,1.328447004934763,1.0359592606418289,0.7182752506542454,0.3850476428596189,0.0464013894994843,-0.2873739143810839,-0.6061366750721283,-0.9002014473917899,-1.1606332220370923,-1.3795189113202733,-1.5502077843339672,-1.6675135460443906,-1.727871920241551,-1.7294489482682789,-1.6721967129259976,-1.5578547944145518,-1.389897414068111,-1.1734278718979656,-0.9150234854040824,-0.6225357411111486,-0.3048517311235653,0.0283758766710625,0.3670221300311964,0.7007974339117649,1.0195601946028083,1.3136249669224718,1.5740567415677738,1.7929424308509545,1.963631303864648,2.0809370655750707,2.141295439772232,2.1428724677989592,2.085620232456678
0,stretching,2012-06-22,CCRB,0.0229865525192356,0.5486980928429346,2.347415771889507,2.281171812757268,2.1724157611838337,2.005987912950447,1.7869450940091236,1.5219428095723808,1.2190330199552026,0.8874194858353591,0.5371781166425348,0.1789508191489708,-0.1763778514827508,-0.5180114134004687,-0.8355695037002354,-1.1194032805004412,-1.3608885981198309,-1.5526880473800084,-1.6889738990704075,-1.765605176551382,-1.7802534772339715,-1.7324737199143327,-1.6237176683408987,-1.4572898201075124,-1.2382470011661888,-0.9732447167294463,-0.6703349271122694,-0.3387213929924256,0.0115199762004,0.3697472736939635,0.7250759443256853,1.066709506243402,1.384267596543171,1.668101373343376,1.9095866909627652,2.101386140222943,2.237671991913341,2.3143032693943173,2.3289515700769066,2.281171812757268
0,stretching,2012-09-20,CCRB,0.0101082749722379,0.6847212951804819,2.5716296954354725,2.5189919092978017,2.409464213041049,2.2371286209529484,2.0072214627930807,1.726728351223495,1.4041719275028717,1.0493529053445367,0.6730522811896811,0.286703759085948,-0.0979536566243267,-0.4692323450108311,-0.8158511910030213,-1.127278356363025,-1.3940512842611277,-1.60806421427676,-1.7628144718271666,-1.853600048644084,-1.8776624709156529,-1.8342706141173208,-1.724742917860568,-1.552407325772467,-1.3225001676125985,-1.0420070560430126,-0.7194506323223904,-0.3646316101640555,0.0116690139908012,0.3980175360945338,0.7826749518048085,1.1539536401913122,1.5005724861835044,1.811999651543508,2.078772579441609,2.292785509457243,2.4475357670076474,2.538321343824567,2.5623837660961337,2.518991909297802
