,year,doy,datavalid_flag,BPstation,Decimal_time,waverage_dilation,waverage_maxshear,waverage_E0,waverage_E5,waverage_E10,waverage_E15,waverage_E20,waverage_E25,waverage_E30,waverage_E35,waverage_E40,waverage_E45,waverage_E50,waverage_E55,waverage_E60,waverage_E65,waverage_E70,waverage_E75,waverage_E80,waverage_E85,waverage_E90,waverage_E95,waverage_E100,waverage_E105,waverage_E110,waverage_E115,waverage_E120,waverage_E125,waverage_E130,waverage_E135,waverage_E140,waverage_E145,waverage_E150,waverage_E155,waverage_E160,waverage_E165,waverage_E170,waverage_E175,waverage_E180
0,2009,9,True,CCRB,2009.026,-0.012396314064174737,0.10847449139439322,-0.02121997366354844,-0.0171668201427509,-0.012780389343747178,-0.00819396074672395,-0.0035468906637568906,0.00101962203221397,0.005366826163688453,0.009362634132923172,0.012885635336749305,0.015828785166313204,0.01810265750334931,0.01963816188753165,0.020388642795149535,0.02033129724358669,0.019467867648409118,0.0178245888809498,0.01545139113501885,0.012420382823230306,0.008823659599373701,0.004770506078576167,0.0003840752795724535,-0.004202353317450794,-0.008849423400417836,-0.013415936096388702,-0.017763140227863183,-0.021758948197097908,-0.025281949400924042,-0.028225099230487955,-0.03049897156752403,-0.03203447595170638,-0.03278495685932428,-0.032727611307761424,-0.031864181712583844,-0.03022090294512453,-0.027847705199193554,-0.024816696887405027,-0.02121997366354845
0,2009,99,True,CCRB,2009.2726,-0.04697784955841858,0.32258210066568194,0.1288710934725923,0.11622117757842299,0.09932624092084001,0.07869962760093362,0.054968066826859056,0.028852630063987486,0.0011468216433101709,-0.02730753146612626,-0.055645858143688894,-0.08300711267316528,-0.10855993718114011,-0.1315279220252916,-0.15121319660849145,-0.16701763382375856,-0.17846102384373827,-0.18519566505330826,-0.1870169287872085,-0.18386947686848842,-0.1758489430310109,-0.1631990271368416,-0.14630409047925863,-0.12567747715935218,-0.10194591638527765,-0.07583047962240617,-0.04812467120172884,-0.019670318092292246,0.008668008585270314,0.03602926311474669,0.06158208762272147,0.08455007246687309,0.10423534705007288,0.12003978426533998,0.13148317428531966,0.1382178154948896,0.1400390792287899,0.1368916273100698,0.1288710934725923
0,2010,4,True,CCRB,2010.0123,0.1385282875335304,0.929938438113097,0.6867000441078213,0.6600369204396096,0.6154234648976429,0.5542152347530664,0.47827201110596357,0.3899012903777263,0.29178817219994024,0.18691377402080342,0.07846465135998325,-0.03026402406837539,-0.13596858648074642,-0.23543725623731912,-0.3256477281411158,-0.4038590026520411,-0.4676946697708946,-0.5152151150546765,-0.5449764538199449,-0.5560744028482805,-0.5481717565742908,-0.5215086329060794,-0.47689517736411274,-0.4156869472195359,-0.33974372357243315,-0.2513730028441962,-0.15325988466641008,-0.048385486487272825,0.06006363617354714,0.1687923116019059,0.2744968740142765,0.3739655437708499,0.4641760156746464,0.5423872901855715,0.6062229573044249,0.653743402588207,0.6835047413534753,0.694602690381811,0.6867000441078214
0,2010,94,True,CCRB,2010.2589,0.14253343749366262,0.9462080510207759,0.844888216316888,0.797056458336703,0.7271719463864088,0.6373580859983462,0.5303438258723998,0.40938074015066767,0.27814423098253077,0.1406218532901841,0.0009921549301293558,-0.13650228636900008,-0.26768377158387463,-0.3885664176672744,-0.495477266587526,-0.5851678862996877,-0.6549130727094484,-0.702593653620515,-0.7267608787094428,-0.7266804390711109,-0.7023547788232255,-0.6545230208430405,-0.5846385088927462,-0.4948246485046834,-0.38781038837873694,-0.26684730265700524,-0.13561079348886834,0.001911584203478851,0.1415412825635334,0.2790357238626628,0.41021720907753706,0.5310998551609376,0.638010704081189,0.7277013237933505,0.797446510203111,0.8451270911141775,0.8692943162031056,0.8692138765647738,0.844888216316888
0,2010,274,True,CCRB,2010.7521,0.44291200116036183,1.4070289466166237,1.313365038199866,1.2721140423102946,1.1989393334813756,1.0960642882126865,0.9666147126974325,0.8145238667829974,0.6444129538608107,0.4614507079397372,0.2711963442787256,0.07943064544426173,-0.10801968484269467,-0.2854590631508179,-0.44749608375887423,-0.5892073337903763,-0.7062869886224692,-0.7951776421882444,-0.8531783969599462,-0.8785269293536346,-0.870453037039504,-0.8292020411499325,-0.7560273323210137,-0.6531522870523246,-0.5237027115370704,-0.3716118656226358,-0.2015009527004492,-0.01853870677937494,0.1717156568816366,0.36348135571610024,0.5509316860030563,0.7283710643111806,0.8904080849192366,1.0321193349507385,1.1491989897828314,1.2380896433486062,1.2960903981203082,1.3214389305139966,1.313365038199866
0,2010,364,True,CCRB,2010.9986,0.2579492069295359,1.467114798005712,1.3567052474137142,1.2814585616010712,1.1711942339054786,1.0292625901275256,0.8599761514425265,0.6684786006268549,0.46058849385960937,0.24262246683744088,0.021203306995287968,-0.19694127653854737,-0.405183070979875,-0.5971947547800271,-0.7671421500893368,-0.9098614912988623,-1.0210163234454226,-1.0972292632013048,-1.1361846189576337,-1.136698751942115,-1.0987560404841783,-1.0235093546715353,-0.9132450269759426,-0.7713133831979891,-0.6020269445129908,-0.4105293936973197,-0.20263928693007383,0.015326740092095467,0.23674589993424794,0.45489048346808325,0.6631322779094105,0.8551439617095639,1.0250913570188733,1.1678106982283984,1.278965530374959,1.3551784701308405,1.3941338258871696,1.3946479588716505,1.3567052474137142
0,2011,89,True,CCRB,2011.2452,0.2774791572839686,1.7307053986254342,1.4799816631550817,1.3967324272423622,1.2752597152000167,1.119254413915295,0.9334566655252398,0.7235118405964867,0.495799006397289,0.25723710216653434,0.015074710646126893,-0.2233301864376694,-0.45073377692566197,-0.6602265177926417,-0.8454430781158083,-1.0007557464338435,-1.121445425911906,-1.2038450217109802,-1.2454508638089172,-1.2449987797471442,-1.2025025058711132,-1.1192532699583932,-0.9977805579160481,-0.8417752566313257,-0.6559775082412708,-0.44603268331251844,-0.21831984911332097,0.02024205511743465,0.2624044466378417,0.5008093437216379,0.72821293420963,0.9377056750766111,1.1229222353997772,1.278234903717812,1.3989245831958745,1.4813241789949483,1.5229300210928858,1.522477937031113,1.4799816631550815
0,2011,179,True,CCRB,2011.4918,0.35528786706144566,1.8054970127998844,1.6527208815158574,1.5590125781221997,1.4233320874688922,1.2498019926067943,1.0436949176578254,0.8112733217990981,0.5595992176097778,0.2963195953924147,0.02943407324216692,-0.23294816730102133,-0.4828547746300654,-0.7126924629401163,-0.9154777303753564,-1.0850490491990628,-1.2162540806960025,-1.305106226377093,-1.3489057587571678,-1.3463218512084922,-1.2974330144544113,-1.2037247110607543,-1.0680442204074465,-0.8945141255453483,-0.6884070505963796,-0.4559854547376528,-0.20431135054833277,0.058968271669031555,0.3258537938192788,0.5882360343624672,0.8381426416915103,1.067980330001563,1.2707655974368028,1.440336916260508,1.5715419477574477,1.6603940934385382,1.7041936258186137,1.7016097182699377,1.6527208815158574
0,2011,269,True,CCRB,2011.7384,0.5244055045250035,1.944624781499029,1.8821586630426503,1.7927922569616663,1.6569196632960574,1.4786693020495052,1.2634572202494496,1.0178225280988187,0.7492287114214574,0.4658368574220773,0.17625768418125326,-0.11071009165622518,-0.3863470994342376,-0.6422782481505039,-0.8707271993586915,-1.0647526472770867,-1.2184592268523025,-1.3271766414432287,-1.387601567421185,-1.3978980239868208,-1.3577531585176468,-1.2683867524366619,-1.1325141587710537,-0.9542637975245013,-0.7390517157244461,-0.49341702357381534,-0.22482320689645433,0.05856864710292679,0.3481478203437505,0.6351155961812289,0.9107526039592405,1.1666837526755087,1.3951327038836963,1.5891581518020905,1.742864731377306,1.8515821459682313,1.9120070719461895,1.922303528511825,1.8821586630426508
0,2011,359,True,CCRB,2011.9849,0.4688141534579951,2.122451852930017,1.9416347999507901,1.8496700014152225,1.7086262562755414,1.5227891073562392,1.297805122389092,1.040510325909938,0.7587224901123483,0.4610035957955054,0.1563996809101984,-0.1458340187268015,-0.43651428508965556,-0.7068089453762394,-0.9485052331094443,-1.1542593288907195,-1.3178194986363458,-1.4342160493540428,-1.49991233074975,-1.5129121945571808,-1.4728206464927953,-1.380855847957227,-1.2398121028175466,-1.0539749538982441,-0.8289909689310971,-0.5716961724519439,-0.28990833665435406,0.007810557662489984,0.3124144725477964,0.6146481721847965,0.9053284385476498,1.1756230988342353,1.4173193865674403,1.6230734823487138,1.7866336520943404,1.9030302028120378,1.968726484207745,1.9817263480151759,1.9416347999507901
