MODEL.01
PARKFIELD1D
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
H VP VS RHO QP QS ETAP ETAS FREFP FREFS
0.05 5.15 2.30 2.56 0 0 0 0 1.0 1.0
0.05 5.16 2.30 2.56 0 0 0 0 1.0 1.0
0.05 5.17 2.30 2.56 0 0 0 0 1.0 1.0
0.05 5.18 2.31 2.56 0 0 0 0 1.0 1.0
0.05 5.19 2.32 2.56 0 0 0 0 1.0 1.0
0.05 5.20 2.33 2.57 0 0 0 0 1.0 1.0
0.05 5.21 2.34 2.57 0 0 0 0 1.0 1.0
0.05 5.22 2.34 2.57 0 0 0 0 1.0 1.0
0.05 5.23 2.35 2.57 0 0 0 0 1.0 1.0
0.05 5.23 2.35 2.57 0 0 0 0 1.0 1.0
0.05 5.24 2.35 2.57 0 0 0 0 1.0 1.0
0.05 5.24 2.35 2.57 0 0 0 0 1.0 1.0
0.05 5.25 2.35 2.57 0 0 0 0 1.0 1.0
0.05 5.25 2.35 2.57 0 0 0 0 1.0 1.0
0.05 5.26 2.34 2.58 0 0 0 0 1.0 1.0
0.05 5.26 2.34 2.58 0 0 0 0 1.0 1.0
0.05 5.27 2.34 2.58 0 0 0 0 1.0 1.0
0.05 5.28 2.35 2.58 0 0 0 0 1.0 1.0
0.05 5.29 2.35 2.58 0 0 0 0 1.0 1.0
0.05 5.30 2.36 2.58 0 0 0 0 1.0 1.0
0.05 5.31 2.36 2.58 0 0 0 0 1.0 1.0
0.05 5.32 2.37 2.59 0 0 0 0 1.0 1.0
0.05 5.33 2.38 2.59 0 0 0 0 1.0 1.0
0.05 5.34 2.39 2.59 0 0 0 0 1.0 1.0
0.05 5.35 2.39 2.59 0 0 0 0 1.0 1.0
0.05 5.36 2.40 2.59 0 0 0 0 1.0 1.0
0.05 5.37 2.41 2.59 0 0 0 0 1.0 1.0
0.05 5.38 2.41 2.60 0 0 0 0 1.0 1.0
0.05 5.38 2.42 2.60 0 0 0 0 1.0 1.0
0.05 5.39 2.42 2.60 0 0 0 0 1.0 1.0
0.05 5.40 2.43 2.60 0 0 0 0 1.0 1.0
0.05 5.41 2.44 2.60 0 0 0 0 1.0 1.0
0.05 5.41 2.45 2.60 0 0 0 0 1.0 1.0
0.05 5.42 2.45 2.60 0 0 0 0 1.0 1.0
0.05 5.42 2.46 2.60 0 0 0 0 1.0 1.0
0.05 5.43 2.47 2.61 0 0 0 0 1.0 1.0
0.05 5.43 2.47 2.61 0 0 0 0 1.0 1.0
0.05 5.43 2.47 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.47 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.48 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.48 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.44 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.45 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.45 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.45 2.49 2.61 0 0 0 0 1.0 1.0
0.05 5.45 2.50 2.61 0 0 0 0 1.0 1.0
0.05 5.46 2.50 2.61 0 0 0 0 1.0 1.0
0.05 5.46 2.51 2.61 0 0 0 0 1.0 1.0
0.05 5.46 2.51 2.61 0 0 0 0 1.0 1.0
0.05 5.47 2.52 2.61 0 0 0 0 1.0 1.0
0.05 5.47 2.53 2.61 0 0 0 0 1.0 1.0
0.05 5.48 2.54 2.62 0 0 0 0 1.0 1.0
0.05 5.49 2.56 2.62 0 0 0 0 1.0 1.0
0.05 5.51 2.58 2.62 0 0 0 0 1.0 1.0
0.05 5.52 2.60 2.62 0 0 0 0 1.0 1.0
0.05 5.52 2.60 2.62 0 0 0 0 1.0 1.0
0.05 5.52 2.61 2.62 0 0 0 0 1.0 1.0
0.05 5.53 2.61 2.62 0 0 0 0 1.0 1.0
0.05 5.53 2.61 2.62 0 0 0 0 1.0 1.0
0.05 5.53 2.62 2.62 0 0 0 0 1.0 1.0
0.05 5.54 2.63 2.63 0 0 0 0 1.0 1.0
0.05 5.55 2.64 2.63 0 0 0 0 1.0 1.0
0.05 5.56 2.66 2.63 0 0 0 0 1.0 1.0
0.05 5.56 2.67 2.63 0 0 0 0 1.0 1.0
0.05 5.57 2.69 2.63 0 0 0 0 1.0 1.0
0.05 5.58 2.70 2.63 0 0 0 0 1.0 1.0
0.05 5.58 2.71 2.63 0 0 0 0 1.0 1.0
0.05 5.59 2.71 2.63 0 0 0 0 1.0 1.0
0.05 5.59 2.71 2.63 0 0 0 0 1.0 1.0
0.05 5.58 2.70 2.63 0 0 0 0 1.0 1.0
0.05 5.58 2.69 2.63 0 0 0 0 1.0 1.0
0.05 5.57 2.68 2.63 0 0 0 0 1.0 1.0
0.05 5.56 2.67 2.63 0 0 0 0 1.0 1.0
0.05 5.57 2.67 2.63 0 0 0 0 1.0 1.0
0.05 5.57 2.67 2.63 0 0 0 0 1.0 1.0
0.05 5.57 2.68 2.63 0 0 0 0 1.0 1.0
0.05 5.58 2.69 2.63 0 0 0 0 1.0 1.0
0.05 5.60 2.72 2.64 0 0 0 0 1.0 1.0
0.05 5.61 2.75 2.64 0 0 0 0 1.0 1.0
0.05 5.63 2.77 2.64 0 0 0 0 1.0 1.0
0.05 5.64 2.79 2.64 0 0 0 0 1.0 1.0
0.05 5.65 2.80 2.65 0 0 0 0 1.0 1.0
0.05 5.65 2.80 2.65 0 0 0 0 1.0 1.0
0.05 5.66 2.81 2.65 0 0 0 0 1.0 1.0
0.05 5.66 2.81 2.65 0 0 0 0 1.0 1.0
