,dvvmethod,modelcase,freqband,a0,p1,a_{precip},p2,t_{shiftdays},S1,log10tmin1,log10tmax1,S2,log10tmin2,log10tmax2,b_{lin},logf,AIC,BIC,residu_absmean,residu_var
BP.JCSB-BP.SCYB,mwcs,wlin,0.9-1.2,-0.0028765906934387275,-0.0006322400242207279,0.24159886626168764,-0.0003699929524295392,169.50811402199056,0.0004884435833778667,5.085228760625694,11.026374084060587,0.006707366151391197,7.449167430863943,10.14795077212199,4.182102801290028e-06,-2.840794357650077,-7462.394287373253,-7407.682617033997,0.041053636453578485,0.003335853888386339
BP.JCSB-BP.SMNB,mwcs,wlin,0.9-1.2,0.012091061357568723,-0.01433678747460498,0.3977979848292239,-0.0002897213049031377,29.812665954692804,0.007942022539169407,4.851207928257938,8.963288493430253,0.03293488854658784,7.25180722641824,8.234667492229136,8.506999482956335e-07,-2.813814495611488,-7401.150831605504,-7346.439161266248,0.04354650174678264,0.0036705819062095952
BP.JCSB-BP.VARB,mwcs,wlin,0.9-1.2,-0.030195797340730364,0.011464750908806762,0.6414765501424771,-0.002687381502793958,158.43523110452554,0.002371795695864274,2.2168273138292145,7.719264583761907,0.007039187094509972,3.176194363262648,7.766811529896865,5.224038500984253e-06,-2.418461718899419,-7115.6342331273445,-7060.922562788089,0.06733955079797505,0.00813684689128262
BP.JCSB-BP.VCAB,mwcs,wlin,0.9-1.2,-0.034912761402194535,-0.006396253745017832,0.019212290901612056,-0.0017582724486064115,3.3022518265120127,0.005322749252837199,0.11593168344285854,7.779961084330638,0.020521363022597695,3.6834829606266903,8.036543192870313,6.010194216918675e-06,-2.8270681809181535,-7402.170747481661,-7347.4590771424055,0.04025195847861279,0.003526285888297969
BP.LCCB-BP.LCCB,mwcs,wlin,0.9-1.2,-0.03953296416696602,-0.0033880157153749592,0.029565521031062802,-0.0014499748392997564,120.06204563564853,0.005863481661305512,0.5742232710461255,9.953102620582023,0.01457985132311693,7.4186919962397795,9.410289888052665,1.4888207668528355e-05,-3.2067539510724115,-7747.864660262983,-7693.152989923728,0.02977314706473107,0.001629859720201995
BP.LCCB-BP.MMNB,mwcs,wlin,0.9-1.2,-0.026341399404588524,-0.0018177503118344698,0.057823057041630044,0.00042097410889414095,82.90020018635863,0.0003070154993810438,5.175870262967583,8.342255477890381,0.026999454267703154,6.774366385058842,8.833205515545075,7.371528366213119e-06,-3.60610007480435,-8166.029244427347,-8111.3175740880915,0.018340795649790093,0.0007501006631813657
BP.LCCB-BP.SCYB,mwcs,wlin,0.9-1.2,-0.017358741384561685,-0.0031639357325785322,0.010237455087335118,-0.0008083611680336201,128.94564886453307,0.004826635957869297,7.89395120034557,10.13001461301842,0.02619836769339535,6.985973624932947,8.543792689536877,6.8091024213152216e-06,-3.605491308076003,-8167.33470238737,-8112.6230320481145,0.01775104256330529,0.000719995443079567
BP.LCCB-BP.SMNB,mwcs,wlin,0.9-1.2,-0.0006572297901785433,0.001232448234902941,0.7031982307588611,0.0007296592301231349,10.056047702763705,0.0036610785644063753,-0.7969435338394463,10.609191912068404,0.023389794204429198,6.400158779132514,8.530411655982341,4.424463927555533e-06,-3.6773279232056058,-8235.23846176424,-8180.526791424984,0.018834675680394607,0.0006476047254341072
BP.LCCB-BP.VARB,mwcs,wlin,0.9-1.2,-0.016239167852675495,-0.007100650377815865,0.06400058123151942,-0.0021593106937923667,131.4451342700394,0.00018115343931692635,-0.6013695949399818,11.5837046053696,0.012628177921027089,7.2550259048470975,9.412449701595285,8.75134301540209e-06,-2.81434894868358,-7547.582370953942,-7492.870700614686,0.04130991467911622,0.0033544235897772015
BP.LCCB-BP.VCAB,mwcs,wlin,0.9-1.2,-0.03295211693934521,-0.001181737190037186,0.005407744581340898,0.0007509972224130465,0.5234964537144058,0.002257413177485103,2.7967789998876293,10.908179184579406,0.0770590016198502,7.245958345650704,7.833830091482019,8.298258839053658e-06,-3.3416115557858945,-7915.921938033435,-7861.2102676941795,0.020882708908278005,0.0011999301572496151
BP.MMNB-BP.MMNB,mwcs,wlin,0.9-1.2,-0.029589794027082044,-0.004469602032419404,0.017694386651419605,-0.0005471432134595447,53.739591501343,0.002865821848347279,4.176431231644527,9.697795753682398,0.09010120101262753,7.931452912679119,8.416069964555358,8.952632084173828e-06,-3.441222617135243,-8024.797852882066,-7970.08618254281,0.02156994768603148,0.0010030955981460924
BP.MMNB-BP.SCYB,mwcs,wlin,0.9-1.2,-0.018217885045754507,-0.0037835640270856103,0.06188523879073071,0.0007387813431585612,1.0845574289343194,0.0008722649132502443,3.7533391796977744,10.542947684152487,0.02293050732810277,6.999395429675124,8.990643624780489,6.882157800913239e-06,-3.7397789030771516,-8301.418320308778,-8246.706649969521,0.016091452411944634,0.0005800878530016391
BP.MMNB-BP.SMNB,mwcs,wlin,0.9-1.2,-0.008427919773146345,-0.006701639438325811,0.33227582484751117,0.00043014694394063677,12.318293388837372,0.005950617230342273,-0.8003692402204038,9.66233653075803,0.018315209983913696,6.565590324907993,8.865875996468668,6.0338197150630245e-06,-3.650321669983091,-8232.493877558018,-8177.782207218762,0.018220361867416955,0.0006829627442342744
BP.MMNB-BP.VCAB,mwcs,wlin,0.9-1.2,-0.034831827580252044,-0.006720809513981683,0.01992321967725714,-0.0007447640852374977,77.43057113602642,0.00651600039797114,7.1383819586202915,9.238321318527952,0.02848639510075633,6.432463025493492,8.271968081597805,8.230508672635576e-06,-3.60456476534806,-8203.145669209085,-8148.433998869829,0.017666718504402264,0.0007179910140044399
BP.SCYB-BP.SCYB,mwcs,wlin,0.9-1.2,0.006567984898449309,-0.005899966526619262,0.10021769678694725,0.001118546772339426,8.255265281594045,0.003465950622787143,6.821651389095733,11.688587140069131,0.015941196930343456,6.579158065323046,9.72495903186372,8.557735142426012e-06,-3.488400724083901,-8012.6270654125965,-7957.915395073341,0.02169110678410566,0.0009829224261591778
BP.SCYB-BP.SMNB,mwcs,wlin,0.9-1.2,-0.017772355166707453,-0.003752449042177922,0.034714720375573486,0.0008730880411724219,4.252007033553902,0.0030164380954127296,1.7735375880610729,10.527478849694996,0.025777107015809042,6.809681943960404,8.414160698362313,6.421546286823011e-06,-3.7574247134170657,-8351.796697528114,-8297.085027188858,0.016195998162990274,0.0005170198245716346
BP.SCYB-BP.VCAB,mwcs,wlin,0.9-1.2,-0.01134415317313658,-0.004829208004341303,0.03739480094949533,0.00011521484656119233,23.06677734561038,0.009103477949368735,6.19086577374693,9.016183894701678,0.022670637783029635,6.782552468011456,8.571380174064732,4.737502325234889e-06,-3.5946166981072576,-8176.332551770154,-8121.620881430898,0.01702211387588665,0.0007298154856409858
BP.SMNB-BP.SMNB,mwcs,wlin,0.9-1.2,-0.002106212317682367,0.0032936468018054223,0.010338684789011787,0.0014061275765869983,3.3811378400991554,0.006500199728500205,6.509298530826215,8.760273232968045,0.04576534991843234,5.813809026096791,7.753246467185862,2.6770455419405054e-06,-3.216147503521846,-7794.902467695662,-7740.190797356407,0.029761793899674236,0.001554903936936176
BP.SMNB-BP.VARB,mwcs,wlin,0.9-1.2,-0.0042593960143134674,-0.001784399387495219,0.0013903465119103897,-0.0008673220040825772,65.44702300000174,0.0050992084666340275,1.3230944701795533,9.52976818752776,0.01482729345628552,2.2175265423168637,8.827722370632868,6.449413746620707e-06,-2.8157408830519923,-7569.739430694128,-7515.027760354872,0.04161388992093146,0.003398786156853185
BP.SMNB-BP.VCAB,mwcs,wlin,0.9-1.2,-0.03426812768675912,-0.0054697162822598,0.037542705366206075,-0.0014442744790175962,120.48290466642646,0.0028169124786355973,4.459429542801843,11.552669036051107,0.026963160365263573,6.1971284262551105,7.996184094108673,1.1126487179701237e-05,-3.379589471194412,-7939.651561330027,-7884.939890990771,0.023476065198031096,0.0011750344772002378
BP.VARB-BP.VARB,mwcs,wlin,0.9-1.2,0.03407978837178648,0.001485004667992576,0.42087462546557675,0.0010183171237323025,25.28170457882993,0.0005366124428551937,4.06020900094519,8.147577392986694,0.006097076881104702,0.7554726916729015,11.451073925368478,3.889758416347578e-06,-2.353225502319653,-7067.585999616177,-7012.874329276921,0.07107724895217475,0.008785471858996554
BP.VCAB-BP.VCAB,mwcs,wlin,0.9-1.2,-0.04172486402921168,-0.007401754481215217,0.04022601481263188,-0.0011081485549148313,48.78203515104594,0.01096773509197062,6.67603851887432,8.785954983000194,0.1019931158640399,7.199682627573766,7.6515240125561395,9.176613020694296e-06,-3.6055545615323052,-8169.197968717897,-8114.486298378642,0.019339800273466805,0.000726380976746739
